"location","newdate","Vaccination_Count","population","Vaccination_Rate"
"Africa","2022-07","327556313",1426736614,22.96
"Argentina","2022-07","41219098",45510324,90.57
"Aruba","2022-07","89190",106459,83.78
"Bolivia","2022-07","7245721",12224114,59.27
"Northern Ireland","2022-07","1426821",1896000,75.25
"Ireland","2022-07","4098457",5023108,81.59
"Italy","2022-07","50842836",59037472,86.12
"Taiwan","2022-07","21183085",23893396,88.66
"Panama","2022-07","3484500",4408582,79.04
"South Africa","2022-07","22035325",59893884,36.79
"Grenada","2022-07","43772",125459,34.89
"Estonia","2022-07","863131",1326064,65.09
"Greece","2022-07","7919400",10384972,76.26
"Austria","2022-07","6881608",8939617,76.98
"Thailand","2022-07","56721152",71697024,79.11
"Kosovo","2022-07","903657",1782115,50.71
"Jamaica","2022-07","813432",2827382,28.77
"Guatemala","2022-07","8307547",17843914,46.56
"South Korea","2022-07","44719895",51815808,86.31
"Netherlands","2022-07","12768345",17564020,72.7
"Low income","2022-07","120773449",737604900,16.37
"Latvia","2022-07","1346068",1850654,72.73
"England","2022-07","45080608",56550000,79.72
"Oceania","2022-07","28762483",45038860,63.86
"Azerbaijan","2022-07","5355145",10358078,51.7
"Belgium","2022-07","9255059",11655923,79.4
"Portugal","2022-07","9760825",10270857,95.03
"North America","2022-07","435260541",600323657,72.5
"Scotland","2022-07","4535124",5466000,82.97
"Kyrgyzstan","2022-07","1571540",6630621,23.7
"World","2022-07","5232555575",3680137728,65.61
"Malaysia","2022-07","28075524",33938216,82.73
"Bahrain","2022-07","1238413",1472237,84.12
"New Zealand","2022-07","4292139",5185289,82.78
"Liechtenstein","2022-07","26744",39355,67.96
"Lithuania","2022-07","1952440",2750058,71
"Slovenia","2022-07","1265796",2119843,59.71
"Canada","2022-07","32779932",38454328,85.24
"Pakistan","2022-07","137177325",235824864,58.17
"South America","2022-07","368215264",436816679,84.3
"Hong Kong","2022-07","6744828",7488863,90.06
"Ecuador","2022-07","15191519",18001002,84.39
"Lower middle income","2022-07","2070874533",-862869996,60.34
"Cuba","2022-07","10680187",11212198,95.26
"Germany","2022-07","64743504",83369840,77.66
"Kazakhstan","2022-07","9524896",19397998,49.1
"Zimbabwe","2022-07","6305470",16320539,38.64
"Saint Lucia","2022-07","59602",179872,33.14
"Uruguay","2022-07","2999714",3422796,87.64
"United Kingdom","2022-07","53617742",67508936,79.42
"Malta","2022-07","476921",533293,89.43
"Curacao","2022-07","108280",191173,56.64
"Singapore","2022-07","5125788",5637022,90.93
"Israel","2022-07","6716981",9449000,71.09
"Macao","2022-07","613839",695180,88.3
"Asia","2022-07","3560475686",4721383370,75.41
"High income","2022-07","979618604",1250514600,78.34
"Brazil","2022-07","184737131",215313504,85.8
"Guyana","2022-07","482339",808727,59.64
"Trinidad and Tobago","2022-07","751282",1531043,49.07
"Dominican Republic","2022-07","7238300",11228821,64.46
"France","2022-07","54532975",67813000,80.42
"Luxembourg","2022-07","481328",647601,74.32
"Upper middle income","2022-07","2061252630",-1769045996,81.6
"United States","2022-07","260119122",338289856,76.89
"Denmark","2022-07","4772746",5882259,81.14
"Wales","2022-07","2575189",3170000,81.24
"Japan","2022-07","103800255",123951696,83.74
"European Union","2022-07","334747075",450146793,74.36
"Poland","2022-07","22735900",39857144,57.04
"Switzerland","2022-07","6087603",8740471,69.65
"Czechia","2022-07","6963910",10493990,66.36
"India","2022-07","1016681915",1417173120,71.74
"Europe","2022-07","512285288",744807803,68.78
"Chile","2022-07","18004721",19603736,91.84
"Norway","2022-07","4343174",5434324,79.92
"Peru","2022-07","29571636",34049588,86.85
