"Week_Date","Vaccinated","Unvaccinated"
202140,11.68,131.66
202141,11.31,121.79
202142,9.99,103.25
202143,10.25,105.93
202144,11.55,111.46
202145,12.97,125.43
202146,14.02,152.34
202147,13.07,146.83
202148,14.99,195.21
202149,13.34,208.8
202150,12.25,182.73
202151,13.76,202.33
202152,31.88,288.8500000000001
202201,46.08,389.52
202202,50.57,393.53
202203,46.03,378.89
202204,37.2,344.26
202205,25.48,257.35
202206,17.48,196.58
202207,11.69,122.23
202208,8.42,85.83
202209,5.81,56.58
202210,3.57,36.41
202211,3.06,23.93
202212,1.81,19.12
202213,2.28,14.33
202214,2.27,14.1
202215,2.39,14.13
202216,3.84,12.97
202217,4.26,19.25
202218,5.36,20.59
202219,6.96,27.68
202220,7.37,27.7
202221,7.47,32.23
202222,7.7,32.46
202223,8.15,31.98
202224,8.51,33.25
202225,8.39,33.89
202226,9.16,37.61
202227,9.81,46.14
202228,10.84,49.45
202229,11.45,49.84
202230,11.01,45.67
202231,10.39,49.47
202232,10.16,50.8
202233,9.18,42.92
202234,8.97,39.38
202235,9.51,40.83
