"location","newdate","Vaccination_Count","population","Vaccination_Rate"
"Argentina","2020-12","43392",45510324,0.1
"Argentina","2021-01","96797",45510324,0.21
"Andorra","2021-01","576",79843,0.72
"Albania","2021-01","549",2842318,0.02
"Algeria","2021-02","75000",44903228,0.17
"Anguilla","2021-02","3929",15877,24.75
"Albania","2021-02","689",2842318,0.02
"Andorra","2021-02","2390",79843,2.99
"Argentina","2021-02","966831",45510324,2.12
"Afghanistan","2021-02","8200",41128772,0.02
"Afghanistan","2021-03","54000",41128772,0.13
"Argentina","2021-03","3569187",45510324,7.84
"Armenia","2021-03","565",2780472,0.02
"Aruba","2021-03","15600",106459,14.65
"Andorra","2021-03","7098",79843,8.89
"Africa","2021-03","7745077",1426736614,0.54
"Antigua and Barbuda","2021-03","26836",93772,28.62
"Angola","2021-03","87022",35588996,0.24
"Anguilla","2021-03","5348",15877,33.68
"Argentina","2021-04","7323009",45510324,16.09
"Afghanistan","2021-04","240000",41128772,0.58
"Aruba","2021-04","54306",106459,51.01
"Andorra","2021-04","9781",79843,12.25
"Anguilla","2021-04","6115",15877,38.51
"Africa","2021-04","9912181",1426736614,0.69
"Antigua and Barbuda","2021-04","29754",93772,31.73
"Angola","2021-04","456349",35588996,1.28
"Angola","2021-05","679034",35588996,1.91
"Antigua and Barbuda","2021-05","33463",93772,35.69
"Africa","2021-05","24926439",1426736614,1.7500000000000002
"Albania","2021-05","486128",2842318,17.1
"Anguilla","2021-05","9004",15877,56.71
"Aruba","2021-05","63113",106459,59.28
"Andorra","2021-05","27613",79843,34.58
"Armenia","2021-05","33529",2780472,1.21
"Afghanistan","2021-05","480226",41128772,1.17
"Argentina","2021-05","9786453",45510324,21.5
"Angola","2021-06","943301",35588996,2.65
"Anguilla","2021-06","9264",15877,58.35
"Antigua and Barbuda","2021-06","36432",93772,38.85
"Afghanistan","2021-06","699200",41128772,1.7
"Argentina","2021-06","17544432",45510324,38.55
"Andorra","2021-06","41716",79843,52.25
"Armenia","2021-06","58518",2780472,2.0999999999999996
"Aruba","2021-06","67827",106459,63.71
"Africa","2021-06","33058603",1426736614,2.32
"Albania","2021-06","564530",2842318,19.86
"Albania","2021-07","670215",2842318,23.58
"Angola","2021-07","958373",35588996,2.69
"Anguilla","2021-07","9428",15877,59.38
"Antigua and Barbuda","2021-07","38146",93772,40.68
"Afghanistan","2021-07","742934",41128772,1.81
"Argentina","2021-07","25775005",45510324,56.64
"Andorra","2021-07","48445",79843,60.68
"Armenia","2021-07","94560",2780472,3.4
"Aruba","2021-07","72793",106459,68.38
"Africa","2021-07","43565968",1426736614,3.05
"Aruba","2021-08","78669",106459,73.9
"Armenia","2021-08","176552",2780472,6.35
"Africa","2021-08","68497000",1426736614,4.8
"Argentina","2021-08","28610680",45510324,62.87
"Andorra","2021-08","52910",79843,66.27
"Algeria","2021-08","3421279",44903228,7.62
"Antigua and Barbuda","2021-08","41061",93772,43.79
"Afghanistan","2021-08","773002",41128772,1.88
"Anguilla","2021-08","9493",15877,59.79
"Albania","2021-08","830396",2842318,29.22
"Angola","2021-08","972978",35588996,2.73
"Aruba","2021-09","81374",106459,76.44
"Afghanistan","2021-09","828601",41128772,2.01
"Angola","2021-09","2127405",35588996,5.98
"Armenia","2021-09","264695",2780472,9.52
"Anguilla","2021-09","9498",15877,59.82
"Algeria","2021-09","6017036",44903228,13.4
"Africa","2021-09","93629275",1426736614,6.56
"Argentina","2021-09","30138323",45510324,66.22
"Albania","2021-09","946495",2842318,33.3
"Antigua and Barbuda","2021-09","51148",93772,54.55
"Andorra","2021-09","54312",79843,68.02
"Andorra","2021-10","54999",79843,68.88
"Antigua and Barbuda","2021-10","56269",93772,60.01
"Albania","2021-10","998130",2842318,35.12
"Africa","2021-10","97672857",1426736614,6.85
"Argentina","2021-10","35087228",45510324,77.1
"Algeria","2021-10","6364327",44903228,14.17
"Anguilla","2021-10","9548",15877,60.14
"Armenia","2021-10","579360",2780472,20.84
"Angola","2021-10","4498272",35588996,12.64
"Aruba","2021-10","82650",106459,77.64
"Aruba","2021-11","83640",106459,78.57
"Antigua and Barbuda","2021-11","61418",93772,65.5
"Angola","2021-11","6266044",35588996,17.61
"Albania","2021-11","1072645",2842318,37.74
"Armenia","2021-11","799403",2780472,28.75
"Afghanistan","2021-11","3530173",41128772,8.58
"Africa","2021-11","151822183",1426736614,10.64
"Argentina","2021-11","37390351",45510324,82.16
"Algeria","2021-11","6875003",44903228,15.31
"Anguilla","2021-11","9911",15877,62.42
"Anguilla","2021-12","10079",15877,63.48
"Argentina","2021-12","38821408",45510324,85.3
"Afghanistan","2021-12","4142857",41128772,10.07
"Algeria","2021-12","7060737",44903228,15.72
"Africa","2021-12","193644216",1426736614,13.57
"Armenia","2021-12","934028",2780472,33.59
"Albania","2021-12","1141486",2842318,40.16
"Aruba","2021-12","84751",106459,79.61
"Angola","2021-12","7685417",35588996,21.59
"Andorra","2021-12","57085",79843,71.5
"Antigua and Barbuda","2021-12","62283",93772,66.42
"Antigua and Barbuda","2022-01","63197",93772,67.39
"Andorra","2022-01","57709",79843,72.28
"Angola","2022-01","9713546",35588996,27.29
"Aruba","2022-01","86627",106459,81.37
