"Week_Date","Vaccinated","Unvaccinated"
202140,11.76,134.93
202141,11.41,124.45
202142,10.09,105.54
202143,10.35,107.89
202144,11.64,113.62
202145,13.06,127.75
202146,14.17,154.96
202147,13.13,149.53
202148,15.12,198.17
202149,13.45,211.94
202150,12.399999999999999,185.89
202151,13.9,205.29
202152,32.28,292.8
202201,46.6,394.12
202202,51.12,397.2
202203,46.51,382.24
202204,37.63,347.11
202205,25.79,259.15
202206,17.63,197.9
202207,11.82,123.17
202208,8.47,86.51
202209,5.85,56.99
202210,3.61,36.87
202211,3.09,24.25
202212,1.83,19.34
202213,2.3000000000000003,14.47
202214,2.3000000000000003,14.25
202215,2.4,14.36
202216,3.87,13.06
202217,4.3,19.46
202218,5.39,20.8
202219,7.01,27.97
202220,7.41,27.88
202221,7.55,32.5
202222,7.78,32.71
202223,8.22,32.21
202224,8.59,33.47
202225,8.42,34.33
202226,9.22,37.95
202227,9.91,46.48
202228,10.97,49.86
202229,11.56,50.35
202230,11.07,46.04
202231,10.48,49.97
202232,10.22,51.169999999999995
202233,9.28,43.35
202234,9.03,39.85
202235,9.59,41.11
