"location","newdate","Death_Rate"
"China","2020-01",0.00001493806635609702
"United States","2020-01",0
"United Kingdom","2020-01",0
"Japan","2020-01",0
"United States","2020-02",2.956044889504461e-7
"China","2020-02",0.00019903395454743354
"United Kingdom","2020-02",0.0000044438561437259205
"Japan","2020-02",0.00000403382943626685
"United Kingdom","2020-03",0.005331146087089863
"United States","2020-03",0.0009834761347381341
"China","2020-03",0.00023241667560612925
"Japan","2020-03",0.00004517888968618872
"United States","2020-04",0.01787254300643292
"United Kingdom","2020-04",0.05539711068768734
"Japan","2020-04",0.0003348078432101486
"China","2020-04",0.00032562179385614304
"China","2020-05",0.00032576205739000307
"United Kingdom","2020-05",0.07713497365741329
"United States","2020-05",0.031134542798705735
"Japan","2020-05",0.0007188284055427527
"United Kingdom","2020-06",0.08302456433323138
"China","2020-06",0.00032597245269079317
"Japan","2020-06",0.0007857899741847824
"United States","2020-06",0.037911275707894716
"United Kingdom","2020-07",0.08487913363054633
"China","2020-07",0.0003272348244955338
"Japan","2020-07",0.0008116064825768903
"United States","2020-07",0.04640014981708467
"United Kingdom","2020-08",0.08571754115632929
"China","2020-08",0.00033165312581212586
"Japan","2020-08",0.0010318535697970603
"United States","2020-08",0.05580953630486632
"United Kingdom","2020-09",0.08691590102975405
"United States","2020-09",0.06212394379333681
"Japan","2020-09",0.0012617818476642708
"China","2020-09",0.0003328453658499364
"China","2020-10",0.0003328453658499364
"United States","2020-10",0.06905527785024686
"Japan","2020-10",0.0014158741321296645
"United Kingdom","2020-10",0.09410013512877763
"United States","2020-11",0.08120610036855494
"Japan","2020-11",0.001709536915089891
"China","2020-11",0.00033312589291765657
"United Kingdom","2020-11",0.11360866359973441
"Japan","2020-12",0.0027542987390830054
"China","2020-12",0.00033579090006099783
"United Kingdom","2020-12",0.13837279260333774
"United States","2020-12",0.10405396252851282
"China","2021-01",0.00033824551190354894
"Japan","2021-01",0.004561454326530555
"United States","2021-01",0.13364958835774254
"United Kingdom","2021-01",0.19191681527909135
"China","2021-02",0.0003396481472421496
"United Kingdom","2021-02",0.21895619862828233
"Japan","2021-02",0.006341179873811488
"United States","2021-02",0.15367088039435625
"United Kingdom","2021-03",0.2260100796137566
"Japan","2021-03",0.0073520575305399604
"United States","2021-03",0.1635431835118343
"China","2021-03",0.0003402092013775899
"United Kingdom","2021-04",0.22778910335662822
"Japan","2021-04",0.008252408260714722
"United States","2021-04",0.16968229753835717
"China","2021-04",0.0003406299919791701
"United Kingdom","2021-05",0.22843790635361222
"Japan","2021-05",0.010526681296881972
"China","2021-05",0.0003485548816422638
"United States","2021-05",0.17483823103463084
"China","2021-06",0.00038537405928053113
"Japan","2021-06",0.011924806579492063
"United States","2021-06",0.1776343538956131
"United Kingdom","2021-06",0.22910744734593358
"United States","2021-07",0.1803080964981699
"China","2021-07",0.0003951925066507357
"United Kingdom","2021-07",0.23160341321332628
"Japan","2021-07",0.012256387359153197
"United States","2021-08",0.18961845548215317
"China","2021-08",0.0003985588314633773
"United Kingdom","2021-08",0.23645906669303748
"Japan","2021-08",0.012941331597431308
"United States","2021-09",0.205785360587342
"China","2021-09",0.00039911988559881756
"United Kingdom","2021-09",0.2429100645283463
"Japan","2021-09",0.014237804378247475
"United States","2021-10",0.2201452354515768
"Japan","2021-10",0.014737999228344565
"United Kingdom","2021-10",0.24953585403864162
"China","2021-10",0.0003994705444334677
"United States","2021-11",0.22940031639612626
"China","2021-11",0.00039954067620039775
"United Kingdom","2021-11",0.2563408790800673
"Japan","2021-11",0.014812221689971873
"United Kingdom","2021-12",0.26228379602961005
"United States","2021-12",0.24211633469730762
"China","2021-12",0.00039968093973425777
"Japan","2021-12",0.014838844964251235
"United Kingdom","2022-01",0.2721373063856317
"United States","2022-01",0.26133092208357556
"China","2022-01",0.00039975107150118784
"Japan","2022-01",0.01516074455326533
"United Kingdom","2022-02",0.27816761917266775
"United States","2022-02",0.2801556071489179
"China","2022-02",0.0004371313032748954
"Japan","2022-02",0.019066298213458892
"United Kingdom","2022-03",0.2845208521728146
"China","2022-03",0.000933874608440319
"Japan","2022-03",0.02266770113415794
"United States","2022-03",0.2883252284100414
"United Kingdom","2022-04",0.2923183384196723
"United States","2022-04",0.2922458307469911
"China","2022-04",0.001068317205645192
"Japan","2022-04",0.02385364698842039
"United Kingdom","2022-05",0.295664562095898
"China","2022-05",0.0011823514586734257
"Japan","2022-05",0.024701557935923685
"United States","2022-05",0.2951879822255149
"China","2022-06",0.0014922637367372415
"Japan","2022-06",0.02523644371917267
"United Kingdom","2022-06",0.2977516931980679
"United States","2022-06",0.2981100325987901
"China","2022-07",0.0015008198123027052
"United Kingdom","2022-07",0.2978761211700922
"Japan","2022-07",0.025249351973368726
"United States","2022-07",0.29827409309015757
