"location","newdate","Growing_Rate"
"China","2020-01",0.0006816807745599204
"United States","2020-01",0.0000023648359116035687
"United Kingdom","2020-01",0
"Japan","2020-01",0.000009681190647040441
"United States","2020-02",0.00002039670973758078
"China","2020-02",0.005567690844808387
"United Kingdom","2020-02",0.00008295198134955052
"Japan","2020-02",0.00018555615406827512
"United Kingdom","2020-03",0.04350831421783925
"United States","2020-03",0.05118184803034709
"China","2020-03",0.005789026701239571
"Japan","2020-03",0.0015756137778058317
"United States","2020-04",0.3045630785925783
"United Kingdom","2020-04",0.24647699972637696
"Japan","2020-04",0.011365717819625478
"China","2020-04",0.005917227571187671
"China","2020-05",0.005931043529272887
"United Kingdom","2020-05",0.37657236961933455
"United States","2020-05",0.5277787578708834
"Japan","2020-05",0.013594811966106539
"United Kingdom","2020-06",0.4198259027516002
"China","2020-06",0.005977120100145919
"Japan","2020-06",0.01500019814170191
"United States","2020-06",0.7705265037565892
"United Kingdom","2020-07",0.4504085207327219
"China","2020-07",0.006168509692097979
"Japan","2020-07",0.027730157076672833
"United States","2020-07",1.3275127587627102
"United Kingdom","2020-08",0.500287843375283
"China","2020-08",0.006338719490437169
"Japan","2020-08",0.05475116693844996
"United States","2020-08",1.7781730351382454
"United Kingdom","2020-09",0.6943154903226441
"United States","2020-09",2.1334024275324412
"Japan","2020-09",0.06696963630090225
"China","2020-09",0.006384866193077131
"China","2020-10",0.006444618458501519
"United States","2020-10",2.670089226677846
"Japan","2020-10",0.08099284095314033
"United Kingdom","2020-10",1.5289457383834342
"United States","2020-11",3.9633340350589763
"Japan","2020-11",0.11840096161330459
"China","2020-11",0.006554865596115531
"United Kingdom","2020-11",2.4456954854095168
"Japan","2020-12",0.18580141089800012
"China","2020-12",0.006779848304427076
"United Kingdom","2020-12",3.7973713583635798
"United States","2020-12",5.787222008808919
"China","2021-01",0.007081485033993147
"Japan","2021-01",0.3142498348711582
"United States","2021-01",7.645228652673524
"United Kingdom","2021-01",5.748464173691021
"China","2021-02",0.007147829685508959
"United Kingdom","2021-02",6.291455993322129
"Japan","2021-02",0.3491464933243027
"United States","2021-02",8.374502071974632
"United Kingdom","2021-03",6.544650622252438
"Japan","2021-03",0.38303066058894425
"United States","2021-03",8.899667390558704
"China","2021-03",0.007206880633264047
"United Kingdom","2021-04",6.662473542761806
"Japan","2021-04",0.4772843124308682
"United States","2021-04",9.44127452642269
"China","2021-04",0.007267193952823874
"United Kingdom","2021-05",6.7755356120558625
"Japan","2021-05",0.6024225759686257
"China","2021-05",0.007821305043338066
"United States","2021-05",9.731462358717607
"China","2021-06",0.008315663868427869
"Japan","2021-06",0.6453949609531765
"United States","2021-06",9.845483217800064
"United Kingdom","2021-06",7.247347225262149
"United States","2021-07",10.251440409729579
"China","2021-07",0.008466447167327439
"United Kingdom","2021-07",8.849323295511576
"Japan","2021-07",0.7469224140345768
"United States","2021-08",11.467731388315705
"China","2021-08",0.008630976292545296
"United Kingdom","2021-08",10.261029739825851
"Japan","2021-08",1.1989775436392576
"United States","2021-09",12.70485095479777
"China","2021-09",0.008743537778468
"United Kingdom","2021-09",11.793838670483565
"Japan","2021-09",1.3725580648771436
"United States","2021-10",13.491295760284341
"Japan","2021-10",1.38994790357689
"United Kingdom","2021-10",13.6763953737917
"China","2021-10",0.008842072911004695
"United States","2021-11",14.214048144559202
"China","2021-11",0.008972517997494557
"United Kingdom","2021-11",15.434651495618299
"Japan","2021-11",1.3935299441162952
"United Kingdom","2021-12",19.910955195620325
"United States","2021-12",15.824975254357021
"China","2021-12",0.009262372590216382
"Japan","2021-12",1.398761014129246
"United Kingdom","2022-01",25.815869768707362
"United States","2022-01",21.8685392682895
"China","2022-01",0.009762692615495238
"Japan","2022-01",2.203138874356346
"United Kingdom","2022-02",28.079273831245093
"United States","2022-02",23.163505677214278
"China","2022-02",0.02355557734939175
"Japan","2022-02",4.038582900874547
"United Kingdom","2022-03",31.30856187690471
"China","2022-03",0.06380048140689037
"Japan","2022-03",5.286672317900354
"United States","2022-03",23.465659874826397
"United Kingdom","2022-04",32.66514969218297
"United States","2022-04",23.809577961450902
"China","2022-04",0.07651936826202035
"Japan","2022-04",6.354497965078268
"United Kingdom","2022-05",33.03403270938828
"China","2022-05",0.21175185955782652
"Japan","2022-05",7.1401056101725295
"United States","2022-05",24.60711887263921
"China","2022-06",0.3344841348477905
"Japan","2022-06",7.526738480448062
"United Kingdom","2022-06",33.660020948930374
"United States","2022-06",25.513608069879577
"China","2022-07",0.33706673716498897
"United Kingdom","2022-07",33.69646205059431
"Japan","2022-07",7.5453949415907955
"United States","2022-07",25.557641018949145
